idempresa,idmercado,idindustria,infraestructura,bancos,insumo1,insumo2,enproceso,mercancias,clientes,proveedores,hipotecas,capitalsocial,utilidades
1,2,5,1323787.937,322389.0385,311878.5353,299343.602,277740.549,341209.4416,299593.5638,608251.5207,606967.0749,1102339.592,858384.4789
2,2,6,1574996.027,258752.0825,289132.8992,290493.3406,306003.5152,329073.0525,289977.2987,613021.4477,588668.5701,1189077.749,947660.4494
3,1,2,589131.3868,292002.9335,281523.4019,294390.8861,290875.0121,297483.5097,293187.6989,651665.3656,575362.5103,1144147.427,-32580.47395
4,3,4,1005367.561,278854.9744,272790.2126,269950.1521,245715.2469,289342.2654,288200.8798,681585.7919,482969.4852,1313803.505,171862.5096
5,1,3,776952.1981,326717.7024,297080.9922,321352.7001,306317.8998,300671.3272,257002.7681,533135.5126,621342.8859,1134312.627,297304.5623
6,3,6,1458713.73,282901.4683,314185.3181,284136.5426,304144.42,274900.5519,324031.0362,610845.3396,632229.5101,1185770.615,814167.6031
7,3,5,1339329.805,298363.0878,316795.2002,306741.7375,284806.2271,304123.983,298107.0704,661151.5111,593559.8981,1102960.092,790595.6096
8,2,3,845552.4,271719.931,315001.8796,260335.7231,314761.8619,307393.6164,333340.7297,654249.2573,617332.1459,1386014.761,-9490.022334
9,2,4,1024900.256,302245.758,329606.9911,284114.7736,299579.4469,306605.0932,294133.0447,521937.9811,563776.8519,1104885.592,650584.9381
10,3,5,964721.2995,298435.2519,313443.1188,306892.3363,285762.6507,312482.9131,369686.9242,629644.4861,644415.3212,1163751.203,413613.4841
11,2,3,768080.988,297111.9875,311765.9051,333023.9489,308592.3908,323063.7382,272571.1973,585193.4684,575063.6476,1203437.762,250515.2784
12,2,6,1673331.624,280278.7607,267965.6035,296404.7252,304425.0152,307372.0897,282926.0072,630937.1609,608173.9813,1257010.262,916582.4212
13,3,2,588744.3396,320473.9021,279450.9485,259432.7198,292439.9289,285475.4215,309341.4237,691918.0062,618368.2052,1129437.706,-104365.2336
14,1,6,1752655.021,292371.115,294402.4994,307631.7045,315436.8031,299862.3785,297728.6523,583847.2971,590640.9894,1237998.139,1147601.749
15,2,4,958577.9981,336373.091,311527.611,320927.4555,290728.739,331416.0133,306046.7178,607313.6659,615030.6646,1368094.99,265158.3057
16,2,2,544101.715,334880.2989,305269.9793,287257.2172,285472.8212,293812.9845,331234.9016,563309.2374,639935.2245,1144918.886,33866.56962
17,1,3,841440.1853,288954.165,310620.8054,301461.8715,290639.2362,303956.9963,302202.0684,608960.4627,615219.9012,1126662.204,288432.7606
18,1,2,484114.383,281390.9771,287568.8785,286194.4191,284265.52,347338.9111,281503.2346,642454.9035,534519.9172,1234515.928,-159114.4254
19,2,4,916013.4743,326722.9313,298644.1294,326047.5005,275427.1691,342759.8604,305570.1513,589254.856,515913.8443,1364160.278,321856.2375
20,1,1,211625.8781,322563.6936,303157.2469,312223.5151,255306.0901,293308.0071,295866.3371,618926.7044,629677.7027,1106255.882,-360809.5209
21,1,6,1462159.78,333620.7603,316017.0806,290650.1033,296420.0266,328042.9846,299422.8132,583605.0394,635295.7729,1295458.483,811974.2536
22,3,4,1017649.057,292322.6272,277390.7497,311798.4354,328667.9288,318129.611,308412.7449,640731.9679,620832.8587,1045661.131,547145.1959
23,3,6,1607795.948,318684.7957,294780.8853,269717.2206,283493.1313,274590.4514,309882.7471,557649.2036,627509.9843,1176935.898,996850.0932
24,3,5,1206176.436,305412.3464,301462.4546,316077.5177,235032.0706,291618.0975,285417.3905,584257.0804,587481.0105,1036552.473,732905.7498
25,3,4,1058565.239,303830.9294,332257.0217,303543.8809,328727.1794,274405.9204,314982.657,633438.2167,585772.4751,1275005.735,422096.4018
26,3,2,594750.7955,337261.2876,304138.9724,282426.6364,327851.9743,291209.4489,302466.4052,598873.3502,602527.4462,1072290.473,166414.251
27,3,5,1199704.586,323192.1621,313538.692,334969.6986,296378.0957,283839.2343,290522.1302,551658.4914,607235.9938,1282029.979,601220.1345
28,2,1,198346.6585,293012.1116,285512.5729,286155.8621,280933.361,303126.1813,287692.0643,568729.7614,634201.7478,1199064.119,-467216.816
29,1,3,700120.7953,290061.7339,308626.131,318178.5386,309412.8585,275235.4906,273697.9944,635352.9469,675006.3594,1255982.626,-91008.38963
30,2,2,564672.3166,313421.3207,283192.2007,316105.8624,306864.1322,318882.1719,341282.3999,578794.6897,586272.588,1294370.036,-15016.90913
31,3,5,1253713.537,319742.1733,252684.0571,265080.0248,282591.4715,270146.048,298150.4672,624887.0216,679348.5722,1292679.717,345192.4674
32,3,1,213100.2985,281629.0347,281258.9182,332386.4304,293152.8931,286600.3573,336659.3339,567726.5922,653583.4719,1112488.378,-309011.1765
33,2,3,870433.3822,250204.5506,318312.9234,308976.4384,316212.9318,309632.863,292869.3328,582186.2646,622351.6787,1173339.183,288765.2956
34,3,6,1705931.823,318108.4112,320958.0922,316889.5324,246505.9061,319595.5449,310149.9295,573365.9287,600239.6856,1328146.553,1036387.072
